Rank;|;Title;|;Genre;|;Album;|;Singers;|;Year;|;Runtime (Minutes);|;Rating;|;Votes;|;Metascore
1;|;TEXAS HOLD 'EM;|;Unknown;|;COWBOY CARTER;|;Beyoncé;|;2024;|;03:53;|;110;|;6747939;|;76
2;|;Pink Pony Club;|;Unknown;|;The Rise and Fall of a Midwest Princess;|;Chappell Roan;|;2023;|;04:18;|;107;|;5068344;|;89
3;|;Not Like Us;|;hip hop, hip hop de la costa oeste;|;Not Like Us;|;Kendrick Lamar;|;2024;|;04:34;|;101;|;9627447;|;96
4;|;DENIAL IS A RIVER;|;Unknown;|;Alligator Bites Never Heal;|;Doechii;|;2024;|;02:39;|;93;|;6023584;|;92
5;|;Espresso;|;Unknown;|;Short n' Sweet;|;Sabrina Carpenter;|;2024;|;02:55;|;104;|;3471990;|;90
6;|;Von dutch;|;hyperpop, art pop;|;BRAT;|;Charli xcx;|;2024;|;02:44;|;130;|;6819805;|;82
7;|;American Dreaming;|;folk americano, country alternativo, bluegrass;|;American Dreaming;|;Sierra Ferrell;|;2024;|;04:17;|;82;|;7783851;|;45
8;|;Die With A Smile;|;art pop, pop, ;|;Die With A Smile;|;Lady Gaga,Bruno Mars;|;2024;|;04:11;|;158;|;720315;|;100
9;|;Broken Man;|;art pop;|;Broken Man;|;St. Vincent;|;2024;|;03:21;|;112;|;8134424;|;46
10;|;Saturn;|;r&b;|;Saturn;|;SZA;|;2024;|;03:06;|;178;|;4054486;|;83
11;|;Love Me JeJe;|;afrobeats, alté, afrobeat;|;Love Me JeJe;|;Tems;|;2024;|;02:58;|;104;|;4973637;|;69
12;|;It Takes A Woman;|;country;|;It Takes A Woman;|;Chris Stapleton;|;2023;|;04:06;|;116;|;3140288;|;60
13;|;It Never Went Away - From the Netflix Documentary “American Symphony”;|;Unknown;|;It Never Went Away (From the Netflix Documentary “American Symphony”);|;Jon Batiste;|;2023;|;03:48;|;74;|;3739944;|;41
14;|;Residuals;|;r&b;|;11:11 (Deluxe);|;Chris Brown;|;2024;|;03:35;|;115;|;9427466;|;76
