#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"TEXAS HOLD 'EM","Beyoncé",76,110,"","","COWBOY CARTER",2024-03-29,03:53,73,71,58,0,38,0,10,-7,D Major,4,2025-02-03,7wLShogStyDeZvL0a6daN5,"Parkwood Entertainment/Columbia",10B,USSM12401302
2,"Pink Pony Club","Chappell Roan",89,107,"","","The Rise and Fall of a Midwest Princess",2023-09-22,04:18,61,65,40,0,51,0,10,-6,F#/G♭ Major,4,2025-02-03,1k2pQc5i348DCHwbn5KTdc,"Chappell Roan PS/ Island",2B,USAT22001300
3,"Not Like Us","Kendrick Lamar",96,101,"hip hop, hip hop de la costa oeste","Hip Hop","Not Like Us",2024-05-04,04:34,90,47,1,0,21,0,10,-7,C♯/D♭ Major,4,2025-02-03,6AI3ezQ4o3HUoP6Dhudph3,"Kendrick Lamar, under exclusive license to Interscope Records",3B,USUG12400910
4,"DENIAL IS A RIVER","Doechii",92,93,"","","Alligator Bites Never Heal",2024-08-30,02:39,83,64,9,0,62,30,0,-3,F#/G♭ minor Minor,4,2025-02-03,1eTaznNW4Xxtx9za2SMTXB,"Top Dawg Entertainment/Capitol Records",11A,USUG12405664
5,"Espresso","Sabrina Carpenter",90,104,"","","Short n' Sweet",2024-08-23,02:55,70,78,13,0,71,0,20,-5,C Major,4,2025-02-03,2HRqTpkrJO5ggZyyK6NPWz,"Island Records",8B,USUM72403305
6,"Von dutch","Charli xcx",82,130,"hyperpop, art pop","Pop","BRAT",2024-06-07,02:44,71,70,0,0,65,0,10,-6,A#/B♭ Major,4,2025-02-03,3Y1EvIgEVw51XtgNEgpz5c,"Atlantic Records",6B,USAT22313737
7,"American Dreaming","Sierra Ferrell",45,82,"folk americano, country alternativo, bluegrass","Country","American Dreaming",2024-03-19,04:17,56,36,60,0,31,0,30,-9,C minor Minor,4,2025-02-03,5MCM2YPIxYTt82Ub6j4HBZ,"Rounder",5A,USRO22304022
8,"Die With A Smile","Lady Gaga,Bruno Mars",100,158,"art pop, pop, ","Pop","Die With A Smile",2024-08-16,04:11,52,59,31,0,54,0,10,-8,F#/G♭ minor Minor,3,2025-02-03,2plbrEY59IikOBgBGLjaoe,"Interscope",11A,USUM72409273
9,"Broken Man","St. Vincent",46,112,"art pop","Pop","Broken Man",2024-02-29,03:21,77,74,6,1,58,0,10,-5,G#/A♭ minor Minor,4,2025-02-03,7ClwnN5j16cc6i5MqWFgHK,"St. Vincent",1A,USA2P2401576
10,"Saturn","SZA",83,178,"r&b","R&B","Saturn",2024-02-22,03:06,41,62,62,0,34,0,10,-7,C♯/D♭ Major,4,2025-02-03,1bjeWoagtHmUKputLVyDxQ,"Top Dawg Entertainment/RCA Records",3B,USRC12400216
11,"Love Me JeJe","Tems",69,104,"afrobeats, alté, afrobeat","Traditional music, R&B","Love Me JeJe",2024-04-25,02:58,84,54,16,45,56,10,10,-10,B Major,4,2025-02-03,47hsUYxvbTlBAN3sP9dEOd,"RCA Records/Since 93'",1B,USRC12400907
12,"It Takes A Woman","Chris Stapleton",60,116,"country","Country","It Takes A Woman",2023-10-13,04:06,58,14,71,0,21,0,10,-13,C Major,3,2025-02-03,64lQdlm7FlF0AYZsRaZlBP,"Mercury Nashville",8B,USUG12300475
13,"It Never Went Away - From the Netflix Documentary “American Symphony”","Jon Batiste",41,74,"","","It Never Went Away (From the Netflix Documentary “American Symphony”)",2023-11-24,03:48,34,23,94,0,5,0,10,-11,C Major,4,2025-02-03,2CcghfG9z26lruSjyRPZiK,"Verve",8B,USUG12309419
14,"Residuals","Chris Brown",76,115,"r&b","R&B","11:11 (Deluxe)",2024-04-11,03:35,58,65,34,0,17,0,10,-8,F#/G♭ minor Minor,4,2025-02-03,4t4rGgiVX7woTmlnW9SHJ7,"Chris Brown Entertainment/RCA Records",11A,USRC12400942
15,"Despídase bien","Carin Leon",79,160,"banda, norteño, sierreño, corrido, grupera, ranchera, sierreño triste, música mexicana","Latin","Boca Chueca, Vol. 1",2024-05-30,03:51,69,58,62,1,38,0,20,-5,B minor Minor,3,2025-02-03,1llaUCfG1g5WzKt6JafYyk,"Socios Music, LLC",10A,USA2P2432330
16,"The Architect","Kacey Musgraves",59,123,"","","Deeper Well",2024-03-15,02:57,70,37,84,0,44,0,0,-9,A Major,4,2025-02-03,78SjYKRXdivtTDHBzaehnm,"Interscope Records/MCA Nashville",11B,USUM72316302
17,"Bridge Over Troubled Water (feat. John Legend & Tori Kelly)","Jacob Collier,John Legend,Tori Kelly",52,84,"pop suave, neo soul, ","R&B","Bridge Over Troubled Water (feat. John Legend & Tori Kelly)",2024-02-22,05:52,15,29,88,0,12,0,20,-8,G#/A♭ Major,3,2025-02-03,4FG5dNlurEtZ84kCTg5YLA,"Decca (UMO)",4B,GBUM72310476
18,"3:AM (feat. Erykah Badu)","Rapsody,Erykah Badu",46,89,"neo soul, r&b","R&B","3:AM (feat. Erykah Badu)",2024-05-03,03:33,53,59,65,0,64,30,10,-6,F minor Minor,4,2025-02-03,5rnAG9S1dqU79m7HqTw688,"We Each Other, Inc., Jamla Records, under exclusive license to Roc Nation Records, LLC",4A,QMJMT2405253
19,"Mea Culpa (Ah! Ça ira!)","Gojira,Marina Viotti,Victor Le Masne",65,90,"metal, metal progresivo, groove metal, death metal, djent, ","Metal","Mea Culpa (Ah! Ça ira!)",2024-08-30,02:53,21,89,0,10,25,0,30,-5,G minor Minor,4,2025-02-03,4AFjPeecGnS3999PV5iOSK,"BMG Rights Management (UK) Ltd.",6A,UKAJF2400002
20,"Holy Hands","DOE",35,125,"góspel r&b, góspel, adoración, música cristiana, pop cristiano, adoración pop","","Holy Hands",2023-09-22,03:24,51,59,24,0,58,0,10,-7,A#/B♭ minor Minor,4,2025-02-03,0fBm16QCdtqEvrcT3b9H7E,"Life Room Label/RCA Inspiration",3A,USA5W2300671
21,"Running","Norah Jones",44,109,"","","Visions",2024-03-08,03:28,67,51,72,7,26,0,10,-7,C minor Minor,4,2025-02-03,3K2U0UcPnbrKpwTC0X1GRm,"Blue Note Records",5A,USUM72318644
22,"That's You","Lucky Daye",41,65,"","","Algorithm",2024-06-28,05:19,63,49,43,0,55,0,0,-7,D Major,4,2025-02-03,6AjfwI16He8udocWpsYJxp,"Keep Cool/RCA Records",10B,USRC12302577
23,"Now And Then","The Beatles",67,87,"rock clásico, rock psicodélico","","Now And Then",2023-11-02,04:08,45,61,23,0,31,0,30,-5,A minor Minor,4,2025-02-03,4vziJcnB2Qyi9o4nIRUeN7,"UMC (Universal Music Catalogue)",8A,GBUM72203947
24,"BIRDS OF A FEATHER","Billie Eilish",99,105,"","","HIT ME HARD AND SOFT",2024-05-17,03:30,75,51,20,6,44,0,10,-10,D Major,4,2025-02-03,6dOtVTDdiauQNBQEDOtlAB,"Darkroom/Interscope Records",10B,USUM72401994
25,"Mileage","Ruthie Foster",37,78,"blues, blues modern","Blues","Mileage",2024-08-23,04:10,52,66,1,0,37,0,10,-6,C Major,4,2025-02-03,3F2jU00UiKwXJ3xu5LI8mF,"Sun Label Group, LLC",8B,USSE62400119
26,"II MOST WANTED","Beyoncé,Miley Cyrus",69,138,"","","COWBOY CARTER",2024-03-29,03:28,53,36,50,0,26,0,10,-6,G#/A♭ Major,4,2025-02-03,1UP7PXne1lIYZB5G5aiRGL,"Parkwood Entertainment/Columbia",4B,USSM12402717
27,"That's My King","CeCe Winans",56,95,"góspel, adoración, música cristiana","","That's My King",2024-02-02,04:10,59,92,0,0,21,0,80,-5,C♯/D♭ Major,4,2025-02-03,7kfKCB4MvQJCrMy8pQlWiQ,"Fair Trade/Columbia",3B,USM2C2400102
28,"Good Luck, Babe!","Chappell Roan",95,117,"","","Good Luck, Babe!",2024-04-05,03:38,70,58,5,0,79,0,0,-6,B minor Minor,4,2025-02-03,0WbMK4wrZ1wFSty9F7FCgu,"Chappell Roan PS/ Island",10A,USUG12401967
29,"Beautiful Things","Benson Boone",92,105,"","","Fireworks & Rollerblades",2024-04-05,03:00,47,47,15,0,22,0,10,-6,A#/B♭ Major,3,2025-02-03,3xkHsmpQCBMytMJNiDf3Ii,"Night Street Records, Inc./Warner Records Inc.",6B,USWB12307016
30,"Like That","Future,Metro Boomin,Kendrick Lamar",88,162,"rap, hip hop, hip hop de la costa oeste","Hip Hop","WE DON'T TRUST YOU",2024-03-22,04:27,81,68,1,0,31,20,10,-5,B minor Minor,4,2025-02-03,2tudvzsrR56uom6smgOcSf,"Wilburn Holding Co./Boominati/Epic/Republic",10A,USSM12402041
31,"A Bar Song (Tipsy)","Shaboozey",88,81,"","","A Bar Song (Tipsy)",2024-04-12,02:51,72,71,6,0,60,0,0,-5,A Major,4,2025-02-03,2FQrifJ1N335Ljm3TjTVVf,"American Dogwood / EMPIRE",11B,USUYG1541249
32,"Please Please Please","Sabrina Carpenter",87,107,"","","Short n' Sweet",2024-08-23,03:06,68,59,26,0,62,0,10,-6,A Major,4,2025-02-03,2tHwzyyOLoWSFqYNjeVMzj,"Island Records",11B,USUM72404101
33,"I Had Some Help (Feat. Morgan Wallen)","Post Malone,Morgan Wallen",86,128,"country","Country","F-1 Trillion",2024-08-15,02:58,64,87,1,0,75,0,20,-5,C Major,4,2025-02-03,5IZXB5IKAD2qlvTPJYDCFB,"Mercury Records / Republic Records",8B,USUM72404990
34,"NISSAN ALTIMA","Doechii",85,117,"","","Alligator Bites Never Heal",2024-08-30,02:06,97,71,10,0,33,10,0,-5,B minor Minor,4,2025-02-03,2dKkVF2m160z0RNDN2dddc,"Top Dawg Entertainment/Capitol Records",10A,USUG12405148
35,"LA PATRULLA","Peso Pluma,Neton Vega",85,133,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño triste, electrocorridos, banda","Latin","ÉXODO",2024-06-20,02:10,72,74,68,0,89,0,10,-7,F#/G♭ minor Minor,3,2025-02-03,2aYZaN5SmkRDLsrrV8GkBQ,"2024 Double P Records",11A,QM6N22400646
36,"Fortnight (feat. Post Malone)","Taylor Swift,Post Malone",85,192,"","","THE TORTURED POETS DEPARTMENT",2024-04-18,03:48,50,39,50,0,28,0,10,-11,B Major,4,2025-02-03,2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift",1B,USUG12401028
37,"Lose Control","Teddy Swims",84,160,"","","Lose Control",2023-06-23,03:30,56,60,20,0,24,0,10,-4,A Major,3,2025-02-03,6usohdchdzW9oML7VC4Uhk,"Warner Records",11B,USWB12302315
38,"Apple","Charli xcx",83,126,"hyperpop, art pop","Pop","BRAT",2024-06-07,02:31,80,96,13,2,96,0,10,-5,C Major,4,2025-02-03,19RybK6XDbAVpcdxSbZL1o,"Atlantic Records",8B,USAT22401350
39,"Escapism.","RAYE,070 Shake",81,96,"","","My 21st Century Blues",2023-02-03,04:32,54,74,14,0,25,10,0,-5,D Major,4,2025-02-03,5mHdCZtVyb4DcJw8799hZp,"Human Re Sources",10B,QMDA62217995
40,"us. (feat. Taylor Swift)","Gracie Abrams,Taylor Swift",80,102,"","","The Secret of Us",2024-06-21,04:02,53,55,50,0,39,0,0,-6,G Major,4,2025-02-03,0hhzNPE68LWLfgZwdpxVdR,"Gracie Abrams, under exclusive license to Interscope Records",9B,USUG12401767
41,"MONACO","Bad Bunny",80,139,"reggaetón, trap latino, latina, urbano latino","Latin","nadie sabe lo que va a pasar mañana",2023-10-13,04:27,79,62,15,0,13,0,50,-5,E minor Minor,4,2025-02-03,4MjDJD8cW7iVeWInc2Bdyj,"Rimas Entertainment LLC",9A,QMFME2364182
42,"Make You Mine","Madison Beer",80,123,"","","Make You Mine",2024-02-09,03:41,53,64,22,1,49,0,20,-6,F#/G♭ minor Minor,4,2025-02-03,48vIfHaK7by6x0T6ucpODL,"Epic/Sing It Loud",11A,USSM12400758
43,"360","Charli xcx",83,120,"hyperpop, art pop","Pop","BRAT",2024-06-07,02:13,86,62,65,24,80,0,0,-8,C Major,4,2025-02-03,4w2GLmK2wnioVnb5CPQeex,"Atlantic Records",8B,USAT22401341
44,"Igual Que Un Ángel (with Peso Pluma)","Kali Uchis,Peso Pluma",79,108,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño triste, electrocorridos, banda","Latin","ORQUÍDEAS",2024-01-12,04:20,70,59,0,0,48,0,10,-5,F minor Minor,4,2025-02-03,6XaJfhwof7qIgbbXO5tIQI,"Geffen Records",4A,USUM72315072
45,"CLASSY 101","Feid,Young Miko",79,100,"reggaetón, urbano latino, trap latino","Latin","FERXXOCALIPSIS",2023-12-01,03:15,86,67,13,0,66,10,10,-5,B Major,4,2025-02-03,1hZsWUnLbqRw09jLAMQSsb,"UMLE - Latino",1B,USUM72304895
46,"4×4×U","Lainey Wilson",79,142,"country","Country","Whirlwind",2024-08-23,03:59,58,73,10,0,47,0,10,-6,G Major,4,2025-02-03,2z865bsdfckaBVck8MSAm8,"Broken Bow Records",9B,QMRSZ2400822
47,"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)","Elevation Worship,Brandon Lake,Chris Brown,Chandler Moore",79,127,"adoración, música cristiana, música cristiana contemporánea, góspel","","CAN YOU IMAGINE?",2023-05-19,05:04,59,87,2,0,47,0,90,-7,A Major,4,2025-02-03,7Ee6XgP8EHKDhTMYLIndu9,"Elevation Worship Records",11B,USPJT2300015
48,"I Am Not Okay","Jelly Roll",78,77,"hip hop country, country","Country","Beautifully Broken",2024-10-10,03:18,54,65,8,0,36,0,10,-5,G Major,4,2025-02-03,3SaS0Va6o6jYkWvadT86C6,"BBR Music Group/Jelly Roll",9B,USUG12403674
49,"Houdini","Eminem",78,127,"rap, hip hop","Hip Hop","The Death of Slim Shady (Coup De Grâce)",2024-07-12,03:47,94,88,3,0,90,0,0,-3,A minor Minor,4,2025-02-03,1CDQzbCz4KSQxHe7LMEgRM,"Shady/Aftermath/Interscope Records",8A,USUG12403398
50,"Guess featuring billie eilish","Charli xcx,Billie Eilish",82,130,"hyperpop, art pop, ","Pop","Guess featuring billie eilish",2024-08-01,02:23,78,67,1,30,62,10,0,-7,G Major,4,2025-02-03,3WOhcATHxK2SLNeP5W3v1v,"Atlantic Records",9B,USAT22406808
51,"offline","Young Miko,Feid",77,93,"trap latino, reggaetón, urbano latino","Latin","att.",2024-04-05,03:21,79,73,18,0,54,10,10,-5,E minor Minor,4,2025-02-03,7s4emXHJwAuo5VvGBXmnBL,"Wave Music Group",9A,QZXD92300025
52,"We Still Don't Trust You","Future,Metro Boomin,The Weeknd",76,110,"rap, ","Hip Hop","WE STILL DON'T TRUST YOU",2024-04-12,04:12,72,59,3,26,43,0,40,-6,C minor Minor,4,2025-02-03,7sVbKoBdhXtYCEOO6qC1SN,"Wilburn Holding Co./Boominati/Epic/Republic",5A,USSM12403111
53,"yes, and?","Ariana Grande",75,119,"pop","Pop","yes, and?",2024-01-12,03:34,79,78,19,0,79,0,10,-7,C♯/D♭ Major,4,2025-02-03,7gaA3wERFkFkgivjwbSvkG,"Republic Records",3B,USUM72400048
54,"Sexy to Someone","Clairo",75,98,"bedroom pop","Pop","Charm",2024-07-12,03:27,72,55,35,0,83,0,10,-7,C minor Minor,4,2025-02-03,3awweDjWIuXNMogMClJnvE,"Clairo",5A,USA2P2416224
55,"Doblexxó","J Balvin,Feid",75,99,"reggaetón, latina, urbano latino","Latin","Rayo",2024-08-09,02:56,79,78,4,0,83,0,10,-5,C♯/D♭ minor Minor,4,2025-02-03,2llFXBrftm6YJzBj3tpk0s,"J. Balvin - Capitol",12A,USUG12403474
56,"Got Me Started","Troye Sivan",73,127,"","","Something To Give Each Other",2023-10-13,03:18,77,68,22,0,54,0,30,-7,G minor Minor,4,2025-02-03,31MNHKE86sEXzIglbGQ6mu,"EMI Recorded Music Australia Pty Ltd",6A,AUUM72300183
57,"MMS","Asake,Wizkid",73,102,"afrobeats, afrobeat, afropiano, afro adura, afropop, amapiano, afroswing, azonto, dancehall","Traditional music, R&B, Pop, Electronic","Lungu Boy",2024-08-08,03:39,50,63,68,3,65,10,10,-3,G#/A♭ minor Minor,3,2025-02-03,13VXuHw3O8Yt7VwRIDqSo4,"YBNL Nation / EMPIRE",1A,USUYG1566014
58,"Starburster","Fontaines D.C.",73,98,"post-punk","Rock","Romance",2024-08-23,03:41,51,86,7,0,36,0,0,-6,A#/B♭ Major,4,2025-02-03,09ttHg3ZNVgDlYBZa1ZBw0,"XL Recordings",6B,GBBKS2400079
59,"Neverender","Justice,Tame Impala",73,117,"house francés, new rave, rock electrónico, indie, pop psicodélico","Rock","Hyperdrama",2024-04-26,04:26,56,44,3,0,42,0,20,-10,F#/G♭ minor Minor,4,2025-02-03,3aQ9MHkMeL7Yu7jpyF62xn,"Genesis",11A,FR8EU2300010
60,"GOOD DAY","Forrest Frank",72,76,"hip hop cristiano, pop cristiano, adoración pop, música cristiana, adoración, góspel r&b","","CHILD OF GOD",2024-07-26,02:50,71,68,6,0,72,10,10,-7,G#/A♭ Major,4,2025-02-03,0vC82BouGPXm6X2K60RfQw,"river house records",4B,QZFZ22423696
